,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
586909,tt0608584,tvEpisode,Echoes,Echoes,0,1976,\N,\N,Crime
586922,tt0608597,tvEpisode,Missing,Missing,0,1976,\N,\N,Crime
586964,tt0608640,tvEpisode,Undercover,Undercover,0,2001,\N,\N,"Action,Crime,Drama"
587201,tt0608879,tvEpisode,The Takeover,The Takeover,0,1999,\N,\N,Drama
587750,tt0609433,tvEpisode,Blackout,Blackout,0,1967,\N,60,"Action,Adventure"
587983,tt0609667,tvEpisode,The Weekend Away,The Weekend Away,0,2003,\N,22,Comedy
588160,tt0609847,tvEpisode,The Snowman,The Snowman,0,1993,\N,\N,Comedy
588615,tt0610313,tvEpisode,Sanctuary,Sanctuary,0,1971,\N,60,"Action,Adventure,Sci-Fi"
588939,tt0610645,tvEpisode,Missing,Missing,0,1989,\N,47,"Crime,Drama,Mystery"
588945,tt0610651,tvEpisode,Obsession,Obsession,0,1991,\N,48,"Crime,Drama,Mystery"
588952,tt0610658,tvEpisode,Prisoners,Prisoners,0,1988,\N,47,"Crime,Drama,Mystery"
588959,tt0610665,tvEpisode,Sanctuary,Sanctuary,0,1992,\N,60,"Crime,Drama,Mystery"
589195,tt0610903,tvEpisode,Sanctuary,Sanctuary,0,1981,\N,48,"Action,Adventure,Drama"
589207,tt0610915,tvEpisode,The Harder They Fall,The Harder They Fall,0,1981,\N,48,"Action,Adventure,Drama"
589378,tt0611089,tvEpisode,The Stranger,The Stranger,0,1954,\N,\N,"Horror,Mystery"
589677,tt0611391,tvEpisode,Den of Thieves,Den of Thieves,0,1986,\N,\N,"Action,Crime,Drama"
589709,tt0611424,tvEpisode,Goodbye,Goodbye,0,1981,\N,\N,Drama
589712,tt0611427,tvEpisode,Intrusion,Intrusion,0,1971,\N,\N,Drama
589831,tt0611546,tvEpisode,Obsession,Obsession,0,1963,\N,\N,"Crime,Thriller"
590221,tt0611943,tvEpisode,The Circle,The Circle,0,1981,\N,\N,"Family,Fantasy"
590223,tt0611945,tvEpisode,Treason,Treason,0,1981,\N,\N,"Family,Fantasy"
590272,tt0611994,tvEpisode,The Condemned,The Condemned,0,1967,\N,60,"Drama,Sci-Fi,Thriller"
590303,tt0612025,tvEpisode,Redemption,Redemption,0,2006,\N,60,"Drama,Horror,Mystery"
590370,tt0612093,tvEpisode,Den of Thieves,Den of Thieves,0,2001,\N,\N,"Action,Comedy,Sci-Fi"
590399,tt0612123,tvEpisode,The Choice,The Choice,0,2001,\N,\N,"Action,Comedy,Sci-Fi"
590652,tt0612376,tvEpisode,Blackout,Blackout,0,1970,\N,60,"Crime,Drama,Mystery"
591160,tt0612888,tvEpisode,Heat,Heat,0,2000,\N,21,Comedy
591194,tt0612922,tvEpisode,War,War,0,2004,\N,\N,Talk-Show
591396,tt0613124,tvEpisode,Perfect Match,Perfect Match,0,2000,\N,\N,"Documentary,Drama"
591529,tt0613257,tvEpisode,Family Secrets,Family Secrets,0,2000,\N,60,"Action,Crime,Drama"
591610,tt0613339,tvEpisode,Redemption,Redemption,0,2001,\N,60,"Action,Crime,Drama"
592102,tt0613832,tvEpisode,Shark Bait,Shark Bait,0,2000,\N,22,"Action,Adventure,Comedy"
592414,tt0614144,tvEpisode,Blackout,Blackout,0,2004,\N,\N,"Drama,Sci-Fi"
592524,tt0614260,tvEpisode,You Don't Know Me,You Don't Know Me,0,1991,\N,\N,"Crime,Drama"
593035,tt0614790,tvEpisode,Thicker Than Water,Thicker Than Water,0,1958,\N,30,Western
593069,tt0614824,tvEpisode,Charlie's Angels,Charlie's Angels,0,1982,\N,25,Comedy
593074,tt0614829,tvEpisode,Dog Gone,Dog Gone,0,1982,\N,30,Comedy
593542,tt0615299,tvEpisode,Beauty and the Beast,Beauty and the Beast,0,2000,\N,\N,"Comedy,Family,Fantasy"
593550,tt0615307,tvEpisode,Mother's Day,Mother's Day,0,2000,\N,\N,"Comedy,Family,Fantasy"
594904,tt0616676,tvEpisode,The Tutor,The Tutor,0,1994,\N,\N,Comedy
595003,tt0616776,tvEpisode,The Stranger,The Stranger,0,1960,\N,30,Western
595558,tt0617335,tvEpisode,You Don't Know Me,You Don't Know Me,0,2005,\N,\N,Drama
595901,tt0617683,tvEpisode,Heat,Heat,0,1982,\N,\N,"Crime,Drama,Mystery"
596036,tt0617819,tvEpisode,The Tutor,The Tutor,0,2000,\N,20,"Comedy,Drama"
596184,tt0617968,tvEpisode,The Assistant,The Assistant,0,1997,\N,23,Comedy
596415,tt0618201,tvEpisode,Twilight,Twilight,0,2003,\N,23,"Action,Adventure,Animation"
596487,tt0618274,tvEpisode,The Guilty,The Guilty,0,1956,\N,30,Drama
596952,tt0618741,tvEpisode,Mother's Day,Mother's Day,0,1987,\N,30,Comedy
597006,tt0618795,tvEpisode,Kate,Kate,0,2001,\N,\N,Drama
597040,tt0618829,tvEpisode,Obsession,Obsession,0,2003,\N,24,Comedy
597148,tt0618937,tvEpisode,Playing with Fire,Playing with Fire,0,1990,\N,23,"Adventure,Crime,Family"
597156,tt0618945,tvEpisode,Skyscraper,Skyscraper,0,1990,\N,23,"Adventure,Crime,Family"
597160,tt0618949,tvEpisode,Switch,Switch,0,1991,\N,23,"Adventure,Crime,Family"
597325,tt0619125,tvEpisode,The Longest Night,The Longest Night,0,1982,\N,\N,"Comedy,Family"
597991,tt0619796,tvEpisode,Mother's Day,Mother's Day,0,2004,\N,21,"Action,Adventure,Animation"
598738,tt0620543,tvEpisode,Aftermath,Aftermath,0,2005,\N,\N,"Comedy,Romance"
599136,tt0620949,tvEpisode,Aftermath,Aftermath,0,1981,\N,60,"Drama,Romance"
599211,tt0621024,tvEpisode,"For Better, for Worse","For Better, for Worse",0,1985,\N,\N,"Drama,Romance"
599375,tt0621188,tvEpisode,The Invisible Man,The Invisible Man,0,1993,\N,\N,"Drama,Romance"
599382,tt0621195,tvEpisode,The Longest Night,The Longest Night,0,1986,\N,\N,"Drama,Romance"
599402,tt0621215,tvEpisode,Thicker Than Water,Thicker Than Water,0,1986,\N,\N,"Drama,Romance"
599565,tt0621379,tvEpisode,The Condemned,The Condemned,0,1977,\N,49,"Action,Crime,Drama"
600475,tt0622400,tvEpisode,Noah,Noah,0,1950,\N,60,Drama
600784,tt0622712,tvEpisode,Burlesque,Burlesque,0,1954,\N,60,Drama
600934,tt0622864,tvEpisode,The Mother,The Mother,0,2001,\N,\N,Comedy
601280,tt0623213,tvEpisode,Blackout,Blackout,0,1996,\N,\N,"Action,Crime,Drama"
602037,tt0623975,tvEpisode,Obsession,Obsession,0,1999,\N,49,"Action,Comedy,Crime"
602227,tt0624166,tvEpisode,Abduction,Abduction,0,2004,\N,\N,Drama
602288,tt0624227,tvEpisode,Missing,Missing,0,1997,\N,45,"Action,Crime,Drama"
602293,tt0624232,tvEpisode,Noise,Noise,0,1997,\N,43,"Action,Crime,Drama"
602321,tt0624260,tvEpisode,Treason,Treason,0,1997,\N,43,"Action,Crime,Drama"
602328,tt0624267,tvEpisode,War,War,0,1997,\N,45,"Action,Crime,Drama"
